"","title.name","title.link","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel","Drama","Comedy","Family","Action","Sci.Fi","Suspense","Romance","Other","mpaa_R_Restricted","mpaa_G_General_audiences","mpaa_PG_Parental_guidance_suggested","mpaa_PG13_Parents_strongly_cautioned","mpaa_NC17_Adults_only","mpaa_Not_Rated"
"38","Big Mouth","flixpatrol.com/title/big-mouth-2022/",0,2,0,7.9,50.5,0,4,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0
"39","Black Crab","flixpatrol.com/title/black-crab/",1,2,1,5.7,19,1,11,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
"40","Blackhat","flixpatrol.com/title/blackhat/",0,2,1,5.4,12.5,3.5,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"41","Blackout","flixpatrol.com/title/blackout-2022/",0,2,1,3.8,19.5,2.5,6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"42","Blade of the 47 Ronin","flixpatrol.com/title/blade-of-the-47-ronin/",0,1,1,4.7,15,3,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"43","Blade Runner 2049","flixpatrol.com/title/blade-runner-2049/",0,2,1,8,30,1,10,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0
"44","Blade: Trinity","flixpatrol.com/title/blade-trinity/",0,1,1,5.8,74,20,9,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1
"45","Bling Empire","flixpatrol.com/title/bling-empire/",1,2,0,5.8,37,6.5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"46","Bling Ring: Hollywood Heist","flixpatrol.com/title/bling-ring-hollywood-heist/",1,2,0,5.7,20.5,2.5,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"47","Blonde","flixpatrol.com/title/blonde/",1,2,1,5.5,16.5,1,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"48","Blow","flixpatrol.com/title/blow/",0,1,1,7.5,7,7,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"49","Borrego","flixpatrol.com/title/borrego/",0,1,1,5.3,10,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"50","Brahms: The Boy II","flixpatrol.com/title/brahms-the-boy-ii/",0,1,1,4.7,34,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"51","Brazen","flixpatrol.com/title/brazen/",0,2,1,4.1,37,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"52","Bridgerton","flixpatrol.com/title/bridgerton/",1,8,0,7.4,21.125,4.25,10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"53","Bullet Train","flixpatrol.com/title/bullet-train/",0,5,1,7.3,9.75,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"54","Bullsh*t the Game Show","flixpatrol.com/title/bullsht-the-game-show/",1,2,0,6.2,34.5,4.5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"55","Burnt","flixpatrol.com/title/burnt/",0,1,1,6.6,11,4,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"56","Call the Midwife","flixpatrol.com/title/call-the-midwife/",0,1,0,8.6,52,10,9,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"57","Can You Keep a Secret?","flixpatrol.com/title/can-you-keep-a-secret/",0,1,1,5.3,18,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"58","Captain Phillips","flixpatrol.com/title/captain-phillips/",0,1,1,7.8,25,2,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"59","Capturing the Killer Nurse","flixpatrol.com/title/capturing-the-killer-nurse/",1,1,1,6.4,22,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"60","Carter","flixpatrol.com/title/carter/",1,2,1,7.3,29,3.5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"61","Catch and Release","flixpatrol.com/title/catch-and-release/",0,2,1,5.9,32,1,8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"62","Catching Killers","flixpatrol.com/title/catching-killers/",1,2,0,7.1,22,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"63","Charlie and the Chocolate Factory","flixpatrol.com/title/charlie-and-the-chocolate-factory/",0,6,1,6.7,70,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
"64","Cheer","flixpatrol.com/title/cheer/",1,3,0,8.1,21.3333333333333,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"65","Chickenhare and the Hamster of Darkness","flixpatrol.com/title/chickenhare-and-the-hamster-of-darkness/",0,2,1,6.3,25,9.5,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"66","CHiPS","flixpatrol.com/title/chips/",0,2,1,6.4,59,7.5,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
"67","Choose or Die","flixpatrol.com/title/choose-or-die/",1,2,1,4.8,20.5,2.5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"68","Christmas with You","flixpatrol.com/title/christmas-with-you/",1,2,1,5.6,28,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"69","Cleaner","flixpatrol.com/title/cleaner-2020/",0,3,1,6.1,10,2.33333333333333,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"70","Coach Carter","flixpatrol.com/title/coach-carter/",0,1,1,7.3,35,9,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"71","Cobra Kai","flixpatrol.com/title/cobra-kai/",1,4,0,8.5,113.142857142857,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
"73","Collateral","flixpatrol.com/title/collateral/",0,1,1,7.5,12,2,8,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"74","Collision","flixpatrol.com/title/collision-2022/",1,1,1,7.5,27,5,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"75","Conversations with a Killer: The Jeffrey Dahmer Tapes","flixpatrol.com/title/conversations-with-a-killer-the-jeffrey-dahmer-tapes/",1,2,0,7.3,17,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"76","Conversations with a Killer: The John Wayne Gacy Tapes","flixpatrol.com/title/conversations-with-a-killer-the-john-wayne-gacy-tapes/",1,3,0,7.1,19.6666666666667,2.33333333333333,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"77","Countdown","flixpatrol.com/title/countdown-2019/",0,1,1,5.4,26,3,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"78","Crime Scene: The Texas Killing Fields","flixpatrol.com/title/crime-scene-the-texas-killing-fields/",1,2,0,6.6,15,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"79","D.B. Cooper: Where Are You?!","flixpatrol.com/title/db-cooper-where-are-you/",1,1,0,5.4,32,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"80","Dahmer – Monster: The Jeffrey Dahmer Story","flixpatrol.com/title/dahmer-monster-the-jeffrey-dahmer-story/",1,6,0,7.9,19.6666666666667,2.83333333333333,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"81","Dark Shadows","flixpatrol.com/title/dark-shadows/",0,1,1,6.2,37,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"82","Dated and Related","flixpatrol.com/title/dated-and-related/",1,1,0,4.6,24,7,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"83","Day Shift","flixpatrol.com/title/day-shift/",1,3,1,6.1,10.6666666666667,0.333333333333333,5,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"84","Dead to Me","flixpatrol.com/title/dead-to-me/",1,4,0,8,17.6666666666667,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"85","Den of Thieves","flixpatrol.com/title/den-of-thieves/",0,3,1,7,43.3333333333333,4,4,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
"86","Despicable Me","flixpatrol.com/title/despicable-me/",0,7,1,7.6,29,1.42857142857143,5,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
"87","Despicable Me 2","flixpatrol.com/title/despicable-me-2/",0,13,1,7.3,30.1538461538462,1.23076923076923,5,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
"88","Devil in Ohio","flixpatrol.com/title/devil-in-ohio/",1,4,0,5.9,23.75,2.25,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"89","Disappearance at Clifton Hill","flixpatrol.com/title/disappearance-at-clifton-hill/",0,1,1,5.4,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"90","Do Revenge","flixpatrol.com/title/do-revenge/",1,3,1,6.3,21.3333333333333,4.66666666666667,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"91","Don't Look Up","flixpatrol.com/title/dont-look-up-2021/",1,6,1,7.2,9.75,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"92","Downfall: The Case Against Boeing","flixpatrol.com/title/downfall-the-case-against-boeing/",1,1,1,7.4,39,6,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"93","Dracula Untold","flixpatrol.com/title/dracula-untold/",0,1,1,6.2,27,2,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"94","Drink Masters","flixpatrol.com/title/drink-masters/",1,1,0,6.7,24,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"95","Dumb and Dumber","flixpatrol.com/title/dumb-and-dumber/",0,1,1,7.3,35,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"96","Dynasty","flixpatrol.com/title/dynasty-2017/",1,2,0,7.3,27.5,5,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"97","Echoes","flixpatrol.com/title/echoes/",1,4,0,5.9,24.75,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"98","El Rey, Vicente Fernández","flixpatrol.com/title/el-rey-vicente-fernandez/",1,4,0,7.3,31.25,6,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"99","Elysium","flixpatrol.com/title/elysium/",0,1,1,6.6,18,2,8,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"100","Emily in Paris","flixpatrol.com/title/emily-in-paris/",1,4,0,6.9,17,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"101","Emily the Criminal","flixpatrol.com/title/emily-the-criminal/",0,2,1,6.7,12,2.5,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"102","End of the Road","flixpatrol.com/title/end-of-the-road/",1,2,1,4.8,11,1,9,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"103","Endless Love","flixpatrol.com/title/endless-love-2017/",0,1,1,4.9,7,1,6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"104","Enola Holmes","flixpatrol.com/title/enola-holmes/",1,1,1,6.6,25,2,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"105","Enola Holmes 2","flixpatrol.com/title/enola-holmes-2/",1,3,1,6.7,24.6666666666667,2,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"106","Extraordinary Attorney Woo","flixpatrol.com/title/extraordinary-attorney-woo/",1,2,0,8.7,30,3.5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"107","F*ck Love Too","flixpatrol.com/title/fck-love-too/",1,1,1,3.8,22,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"108","Falling for Christmas","flixpatrol.com/title/falling-for-christmas/",1,3,1,5.2,26.6666666666667,0.666666666666667,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"109","Family Reunion","flixpatrol.com/title/family-reunion/",1,1,0,6.6,23,2,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"110","Fate: The Winx Saga","flixpatrol.com/title/fate-the-winx-saga/",1,3,0,6.8,21.3333333333333,4.33333333333333,10,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"111","Father Stu","flixpatrol.com/title/father-stu/",0,3,1,6.5,46.6666666666667,14,10,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"112","Final Score","flixpatrol.com/title/final-score/",0,1,1,5.8,16,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"113","Firefly Lane","flixpatrol.com/title/firefly-lane/",1,5,0,7.4,17,3.25,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"114","First Kill","flixpatrol.com/title/first-kill-2022/",1,2,0,5.9,8,6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"115","First Sunday","flixpatrol.com/title/first-sunday/",0,2,1,4.5,39,1.5,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"116","Fistful of Vengeance","flixpatrol.com/title/fistful-of-vengeance/",1,1,1,4.4,22,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"117","Flight","flixpatrol.com/title/flight/",0,1,1,7.3,37,4,5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"118","Forgetting Sarah Marshall","flixpatrol.com/title/forgetting-sarah-marshall/",0,1,1,7.1,46,8,3,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
"119","Forrest Gump","flixpatrol.com/title/forrest-gump/",0,2,1,8.8,62,7,4,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"120","Four Brothers","flixpatrol.com/title/four-brothers/",0,2,1,6.8,7,0.5,8,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
