title name;genre;MPAA_rating;rating
The Last House on the Left;Horror,Thriller,;TV-14,R,;6.5
The Last Duel;Action,Drama,History,Thriller,;TV-MA,R,;7.4
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Euphoria;Drama,;TV-MA,;8.4
Single Drunk Female;Comedy,Drama,;TV-14,;6.8
How I Met Your Father;Comedy,Drama,;TV-14,;5.5
Billions;Drama,;TV-MA,;8.4
Next Level Chef;Reality-TV,;TV-14,;6.8
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
Abbott Elementary;Comedy,;TV-PG,;8.2
The Bachelor;Game-Show,Reality-TV,Romance,;TV-14,TV-14,TV-PG,;3.2
The Rookie;Action,Crime,Drama,;TV-14,;8.0
Nobody;Action,Crime,Drama,Thriller,;R,;7.4
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Dirty Grandpa;Comedy,;R,;5.9
Master and Commander: The Far Side of the World;Action,Adventure,Drama,War,;PG-13,;7.4
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Nightmare Alley;Crime,Drama,Thriller,;R,;7.0
Hitman's Wife's Bodyguard;Action,Comedy,Crime,Thriller,;R,;6.1
Space Jam: A New Legacy;Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi,Sport,;PG,;4.5
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Dragon Ball Super: Broly;Short,;;6.6
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Euphoria;Drama,;TV-MA,;8.4
Pam & Tommy;Biography,Comedy,Drama,Romance,;TV-MA,;7.3
Billions;Drama,;TV-MA,;8.4
20/20;Documentary,News,;Unrated,;6.7
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
How I Met Your Father;Comedy,Drama,;TV-14,;5.5
The Gilded Age;Drama,;TV-MA,;8.0
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Abbott Elementary;Comedy,;TV-PG,;8.2
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Nightmare Alley;Crime,Drama,Thriller,;R,;7.0
Spencer;Biography,Drama,;R,;6.6
The Proposal;Comedy,Drama,Romance,;TV-PG,PG-13,;6.7
Master and Commander: The Far Side of the World;Action,Adventure,Drama,War,;PG-13,;7.4
All About the Benjamins;Action,Comedy,Crime,Thriller,;TV-14,R,;5.8
Dragon Ball Super: Broly;Short,;;5.8
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
The Hangover Part III;Comedy,Crime,;TV-14,R,;5.8
Euphoria;Drama,;TV-MA,;8.4
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Pam & Tommy;Biography,Comedy,Drama,Romance,;TV-MA,;7.3
Billions;Drama,;TV-MA,;8.4
Single Drunk Female;Comedy,Drama,;TV-14,;6.8
Rick and Morty;Animation,Adventure,Comedy,Sci-Fi,;TV-14,TV-MA,TV-14,TV-MA,;9.1
The Righteous Gemstones;Comedy,Drama,;TV-MA,;8.1
Attack on Titan;Animation,Action,Adventure,Drama,Fantasy,Horror,;TV-MA,TV-14,TV-MA,;9.0
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Spencer;Biography,Drama,;R,;6.6
Escape Room: Tournament of Champions;Action,Adventure,Horror,Mystery,Sci-Fi,Thriller,;PG-13,;5.7
The King's Man;Action,Adventure,Thriller,;R,;6.3
Don't Breathe 2;Action,Crime,Horror,Thriller,;R,;6.0
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
All About the Benjamins;Action,Comedy,Crime,Thriller,;TV-14,R,;5.8
The Proposal;Comedy,Drama,Romance,;TV-PG,PG-13,;6.7
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
A Man Apart;Action,Crime,Drama,Thriller,;R,;6.0
Euphoria;Drama,;TV-MA,;8.4
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
Attack on Titan;Animation,Action,Adventure,Drama,Fantasy,Horror,;TV-MA,TV-14,TV-MA,;9.0
20/20;Documentary,News,;Unrated,;6.7
Single Drunk Female;Comedy,Drama,;TV-14,;6.8
Power Book II: Ghost;Crime,Drama,;TV-MA,;7.3
Abbott Elementary;Comedy,;TV-PG,;8.2
General Hospital;Crime,Drama,Romance,;TV-PG,TV-14,TV-14,;6.5
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
The King's Man;Action,Adventure,Thriller,;R,;6.3
Don't Breathe 2;Action,Crime,Horror,Thriller,;R,;6.0
Free Guy;Action,Adventure,Comedy,Fantasy,Sci-Fi,;PG-13,;7.1
Escape Room: Tournament of Champions;Action,Adventure,Horror,Mystery,Sci-Fi,Thriller,;PG-13,;5.7
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Old Henry;Action,Drama,Western,;Not Rated,;7.2
No Exit;Drama,Mystery,Thriller,;R,;6.1
What Breaks the Ice;Drama,;TV-MA,;5.4
Antlers;Drama,Horror,Mystery,;R,;5.9
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Euphoria;Drama,;TV-MA,;8.4
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
How I Met Your Father;Comedy,Drama,;TV-14,;5.5
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
9-1-1: Lone Star;Action,Drama,Thriller,;TV-14,;7.1
Pam & Tommy;Biography,Comedy,Drama,Romance,;TV-MA,;7.3
Billions;Drama,;TV-MA,;8.4
General Hospital;Crime,Drama,Romance,;TV-PG,TV-14,TV-14,;6.5
The Cleaning Lady;Crime,Drama,Thriller,;TV-14,TV-MA,TV-MA,;7.0
American Dad!;Animation,Comedy,;TV-14,TV-MA,TV-14,TV-MA,TV-14,TV-PG,;7.4
No Exit;Drama,Mystery,Thriller,;R,;6.1
Free Guy;Action,Adventure,Comedy,Fantasy,Sci-Fi,;PG-13,;7.1
Don't Breathe 2;Action,Crime,Horror,Thriller,;R,;6.0
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
The King's Man;Action,Adventure,Thriller,;R,;6.3
Fresh;Horror,Thriller,;R,;6.7
Hitman's Wife's Bodyguard;Action,Comedy,Crime,Thriller,;R,;6.1
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
20/20;Documentary,News,;Unrated,;6.7
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Euphoria;Drama,;TV-MA,;8.4
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Snowfall;Crime,Drama,;TV-MA,;8.2
Billions;Drama,;TV-MA,;8.4
The Dropout;Biography,Drama,;TV-MA,;7.5
Fresh;Horror,Thriller,;R,;6.7
No Exit;Drama,Mystery,Thriller,;R,;6.1
Free Guy;Action,Adventure,Comedy,Fantasy,Sci-Fi,;PG-13,;7.1
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Don't Breathe 2;Action,Crime,Horror,Thriller,;R,;6.0
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Shrek the Third;Animation,Adventure,Comedy,Family,Fantasy,Romance,;PG,;6.1
Jumanji: Welcome to the Jungle;Action,Adventure,Comedy,Fantasy,;PG-13,;6.9
Safe House;Action,Thriller,;TV-14,R,;6.7
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The Dropout;Biography,Drama,;TV-MA,;7.5
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
The Bachelor;Game-Show,Reality-TV,Romance,;TV-14,TV-14,TV-PG,;3.2
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
20/20;Documentary,News,;Unrated,;6.7
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
How I Met Your Father;Comedy,Drama,;TV-14,;5.5
Billions;Drama,;TV-MA,;8.4
F9;Action,Crime,Thriller,;PG-13,;5.2
Deep Water;Drama,Mystery,Thriller,;R,;5.4
Dune;Action,Adventure,Drama,Sci-Fi,;PG-13,;8.0
