title link;rank;title name;exclusive;cumulative_rank;Type;platform;week_num
flixpatrol.com/title/the-suicide-squad/;10;The Suicide Squad;;;Movies;Hulu;4
flixpatrol.com/title/power-book-ii-ghost/;1;Power Book II: Ghost;;;TV Shows;Hulu;4
flixpatrol.com/title/euphoria/;2;Euphoria;;;TV Shows;Hulu;4
flixpatrol.com/title/how-i-met-your-father/;3;How I Met Your Father;;;TV Shows;Hulu;4
flixpatrol.com/title/2020-1978/;4;20/20;;;TV Shows;Hulu;4
flixpatrol.com/title/bobs-burgers/;5;Bob's Burgers;;;TV Shows;Hulu;4
flixpatrol.com/title/yellowjackets/;6;Yellowjackets;;;TV Shows;Hulu;4
flixpatrol.com/title/futurama/;7;Futurama;;;TV Shows;Hulu;4
flixpatrol.com/title/the-righteous-gemstones/;8;The Righteous Gemstones;;;TV Shows;Hulu;4
flixpatrol.com/title/this-is-us/;9;This Is Us;;;TV Shows;Hulu;4
flixpatrol.com/title/pivoting/;10;Pivoting;;;TV Shows;Hulu;4
flixpatrol.com/title/joy-ride/;1;Joy Ride;;;Movies;Hulu;5
flixpatrol.com/title/matilda/;2;Matilda;;;Movies;Hulu;5
flixpatrol.com/title/hitmans-wifes-bodyguard/;3;Hitman's Wife's Bodyguard;;;Movies;Hulu;5
flixpatrol.com/title/ray-donovan-the-movie/;4;Ray Donovan: The Movie;;;Movies;Hulu;5
flixpatrol.com/title/the-dry/;5;The Dry;;;Movies;Hulu;5
flixpatrol.com/title/the-worlds-end/;6;The World's End;;;Movies;Hulu;5
flixpatrol.com/title/space-jam-a-new-legacy/;7;Space Jam: A New Legacy;;;Movies;Hulu;5
flixpatrol.com/title/nobody/;8;Nobody;;;Movies;Hulu;5
flixpatrol.com/title/the-last-house-on-the-left/;9;The Last House on the Left;;;Movies;Hulu;5
flixpatrol.com/title/the-last-duel/;10;The Last Duel;;;Movies;Hulu;5
flixpatrol.com/title/power-book-ii-ghost/;1;Power Book II: Ghost;;;TV Shows;Hulu;5
flixpatrol.com/title/euphoria/;2;Euphoria;;;TV Shows;Hulu;5
flixpatrol.com/title/single-drunk-female/;3;Single Drunk Female;;;TV Shows;Hulu;5
flixpatrol.com/title/how-i-met-your-father/;4;How I Met Your Father;;;TV Shows;Hulu;5
flixpatrol.com/title/billions/;5;Billions;;;TV Shows;Hulu;5
flixpatrol.com/title/next-level-chef/;6;Next Level Chef;;;TV Shows;Hulu;5
flixpatrol.com/title/this-is-us/;7;This Is Us;;;TV Shows;Hulu;5
flixpatrol.com/title/abbott-elementary/;8;Abbott Elementary;;;TV Shows;Hulu;5
